                    - SPARES  LIST -


                    - PART SUMMARY -

LP_515XXX-5151230F,LP_515XXX-5A	5151230F	1
LSHM-130-0XXX-L-DV-A-S-LSHM-13B	LSHM-130-03.0-L-DV-A-S-K-TR	1
LSHM-150-0XXX-L-DV-A-S-LSHM-15B	LSHM-150-03.0-L-DV-A-S-K-TR	1
LTC2991CMS#PBF-VCC=VCC3V3	LTC2991CMS#PBF	1
MAX9381ESA_SMD-MAX9381ESA	MAX9381ESA	3
MCH_CONNECTOR1-MCH1B-EDGE-170,B	MCH1B-EDGE-170	1
MT_HOLE-MT_HOLE,MT_HOLE-MOUNTHA	Mt_Hole	10
PCOAX-U.FL-R-SMT-1(10)	U.FL-R-SMT-1(10)	6
PTH08T210WAD	PTH08T210WAD	2
R-311-24.9LRCT-ND,R-311-24.9LRA	311-24.9LRCT-ND	6
R-311-49.9LRCT-ND,R-311-49.9LRA	311-49.9LRCT-ND	2
R-CRCW060310M0FKEAC,R-CRCW0603A	CRCW060310M0FKEAC	2
R-EMA-00003608,R-EMA-00003608,A	EMA-00003608	4
R-EMA-00007500V42,R-EMA-000075A	EMA-00007500V42	15
R-ERA-2AEB303X,R-ERA-2AEB303X,A	ERA-2AEB303X	1
R-ERJ-2RKF1000X,R-ERJ-2RKF1000A	ERJ-2RKF1000X	17
R-ERJ-2RKF1001X,R-ERJ-2RKF1001A	ERJ-2RKF1001X	5
R-ERJ-2RKF1503X,R-ERJ-2RKF1503A	ERJ-2RKF1503X	3
R-ERJ-2RKF2201X,R-ERJ-2RKF2201A	ERJ-2RKF2201X	10
R-ERJ-2RKF3302X,R-ERJ-2RKF3302A	ERJ-2RKF3302X	7
R-ERJ-2RKF33R0X,R-ERJ-2RKF33R0A	ERJ-2RKF33R0X	1
R-ERJ-2RKF3903X,R-ERJ-2RKF3903A	ERJ-2RKF3903X	1
R-ERJ-2RKF4701X,R-ERJ-2RKF4701A	ERJ-2RKF4701X	2
R-ERJ-2RKF4990X,R-ERJ-2RKF4990A	ERJ-2RKF4990X	2
R-ERJ-2RKF4991X,R-ERJ-2RKF4991A	ERJ-2RKF4991X	23
R-ERJ-2RKF49R9X,R-ERJ-2RKF49R9A	ERJ-2RKF49R9X	2
R-ERJ-3EKF1600V,R-ERJ-3EKF1600A	ERJ-3EKF1600V	1
R-ERJ-6GEY0R00V,R-ERJ-6GEY0R00A	ERJ-6GEY0R00V	1
R-ERJ-PA2F3300X,R-ERJ-PA2F3300A	ERJ-PA2F3300X	1
