STUFF LIST - 1  
24AA025E48T-I/SN-24AA025E48T-IB 24AA025E48T-I/SN         U18             

----------------

7X2RECPT_SMD_2MM-878321420,7X2B 878321420                J10             

----------------

ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA ADCLK948BCPZ             IC3             
ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA ADCLK948BCPZ             IC4             

----------------

ATMGA128_TQFP-ATMEGA128A-AU,ATB ATMEGA128A-AU            U4              

----------------

CAPCERSMDCL2_0402-1UF,16V CC0402_1.0UF_16V_10%_X5R C116            
CAPCERSMDCL2_0402-1UF,16V CC0402_1.0UF_16V_10%_X5R C118            
CAPCERSMDCL2_0402-1UF,16V CC0402_1.0UF_16V_10%_X5R C130            
CAPCERSMDCL2_0402-1UF,16V CC0402_1.0UF_16V_10%_X5R C131            
CAPCERSMDCL2_0402-1UF,16V CC0402_1.0UF_16V_10%_X5R C132            
CAPCERSMDCL2_0402-1UF,16V CC0402_1.0UF_16V_10%_X5R C134            
CAPCERSMDCL2_0402-1UF,16V CC0402_1.0UF_16V_10%_X5R C160            
CAPCERSMDCL2_0402-1UF,16V CC0402_1.0UF_16V_10%_X5R C168            
CAPCERSMDCL2_0402-1UF,16V CC0402_1.0UF_16V_10%_X5R C173            

----------------

CAPCERSMDCL2_0603-10UF,6.3V CC0603_10UF_6V3_20%_X5R  C126            
CAPCERSMDCL2_0603-10UF,6.3V CC0603_10UF_6V3_20%_X5R  C127            
CAPCERSMDCL2_0603-10UF,6.3V CC0603_10UF_6V3_20%_X5R  C128            
CAPCERSMDCL2_0603-10UF,6.3V CC0603_10UF_6V3_20%_X5R  C129            
CAPCERSMDCL2_0603-10UF,6.3V CC0603_10UF_6V3_20%_X5R  C162            
CAPCERSMDCL2_0603-10UF,6.3V CC0603_10UF_6V3_20%_X5R  C163            
CAPCERSMDCL2_0603-10UF,6.3V CC0603_10UF_6V3_20%_X5R  C171            
CAPCERSMDCL2_0603-10UF,6.3V CC0603_10UF_6V3_20%_X5R  C172            

----------------

CAPCERSMDCL2_0603-1UF,16V CC0603_1UF_16V_10%_X5R   C23             
CAPCERSMDCL2_0603-1UF,16V CC0603_1UF_16V_10%_X5R   C41             

----------------

CAP_NP-445-7348-2-ND,CAP_NP-44A 445-7348-2-ND            C57             
CAP_NP-445-7348-2-ND,CAP_NP-44A 445-7348-2-ND            C62             
CAP_NP-445-7348-2-ND,CAP_NP-44A 445-7348-2-ND            C64             
CAP_NP-445-7348-2-ND,CAP_NP-44A 445-7348-2-ND            C66             
CAP_NP-445-7348-2-ND,CAP_NP-44A 445-7348-2-ND            C69             
CAP_NP-445-7348-2-ND,CAP_NP-44A 445-7348-2-ND            C86             
CAP_NP-445-7348-2-ND,CAP_NP-44A 445-7348-2-ND            C90             
CAP_NP-445-7348-2-ND,CAP_NP-44A 445-7348-2-ND            C94             
CAP_NP-445-7348-2-ND,CAP_NP-44A 445-7348-2-ND            C103            
CAP_NP-445-7348-2-ND,CAP_NP-44A 445-7348-2-ND            C107            
CAP_NP-445-7348-2-ND,CAP_NP-44A 445-7348-2-ND            C111            
CAP_NP-445-7348-2-ND,CAP_NP-44A 445-7348-2-ND            C115            
CAP_NP-445-7348-2-ND,CAP_NP-44A 445-7348-2-ND            C140            
CAP_NP-445-7348-2-ND,CAP_NP-44A 445-7348-2-ND            C145            
CAP_NP-445-7348-2-ND,CAP_NP-44A 445-7348-2-ND            C156            

----------------

CAP_NP-445-8173-1-ND,CAP_NP-44A 445-8173-1-ND            C42             
CAP_NP-445-8173-1-ND,CAP_NP-44A 445-8173-1-ND            C47             
CAP_NP-445-8173-1-ND,CAP_NP-44A 445-8173-1-ND            C48             
CAP_NP-445-8173-1-ND,CAP_NP-44A 445-8173-1-ND            C92             

----------------

CAP_NP-C0402C104K9RACTU,CAP_NPA C0402C104K9RACTU         C53             
CAP_NP-C0402C104K9RACTU,CAP_NPA C0402C104K9RACTU         C93             
CAP_NP-C0402C104K9RACTU,CAP_NPA C0402C104K9RACTU         C104            

----------------

CAP_NP-GRM152R60J105ME15D,CAP_B GRM152R60J105ME15D       C9              
CAP_NP-GRM152R60J105ME15D,CAP_B GRM152R60J105ME15D       C20             
CAP_NP-GRM152R60J105ME15D,CAP_B GRM152R60J105ME15D       C38             
CAP_NP-GRM152R60J105ME15D,CAP_B GRM152R60J105ME15D       C147            

----------------

CAP_NP-GRM155R60J474KE19J,CAP_B GRM155R60J474KE19J       C46             

----------------

CAP_NP-GRM188R60J226MEA0D,CAP_B GRM188R60J226MEA0D       C88             
CAP_NP-GRM188R60J226MEA0D,CAP_B GRM188R60J226MEA0D       C96             
CAP_NP-GRM188R60J226MEA0D,CAP_B GRM188R60J226MEA0D       C109            
CAP_NP-GRM188R60J226MEA0D,CAP_B GRM188R60J226MEA0D       C117            
CAP_NP-GRM188R60J226MEA0D,CAP_B GRM188R60J226MEA0D       C143            
CAP_NP-GRM188R60J226MEA0D,CAP_B GRM188R60J226MEA0D       C161            

----------------

CAP_NP-GRM188R61A106KE69D,CAP_B GRM188R61A106KE69D       C87             
CAP_NP-GRM188R61A106KE69D,CAP_B GRM188R61A106KE69D       C108            
CAP_NP-GRM188R61A106KE69D,CAP_B GRM188R61A106KE69D       C112            
CAP_NP-GRM188R61A106KE69D,CAP_B GRM188R61A106KE69D       C121            
CAP_NP-GRM188R61A106KE69D,CAP_B GRM188R61A106KE69D       C141            
CAP_NP-GRM188R61A106KE69D,CAP_B GRM188R61A106KE69D       C155            

----------------

CAP_NP-GRM21BR60J476ME15K,CAP_B GRM21BR60J476ME15K       C50             
CAP_NP-GRM21BR60J476ME15K,CAP_B GRM21BR60J476ME15K       C54             
CAP_NP-GRM21BR60J476ME15K,CAP_B GRM21BR60J476ME15K       C55             
CAP_NP-GRM21BR60J476ME15K,CAP_B GRM21BR60J476ME15K       C56             
CAP_NP-GRM21BR60J476ME15K,CAP_B GRM21BR60J476ME15K       C59             
CAP_NP-GRM21BR60J476ME15K,CAP_B GRM21BR60J476ME15K       C60             
CAP_NP-GRM21BR60J476ME15K,CAP_B GRM21BR60J476ME15K       C65             
CAP_NP-GRM21BR60J476ME15K,CAP_B GRM21BR60J476ME15K       C68             
CAP_NP-GRM21BR60J476ME15K,CAP_B GRM21BR60J476ME15K       C71             
CAP_NP-GRM21BR60J476ME15K,CAP_B GRM21BR60J476ME15K       C72             
CAP_NP-GRM21BR60J476ME15K,CAP_B GRM21BR60J476ME15K       C81             
CAP_NP-GRM21BR60J476ME15K,CAP_B GRM21BR60J476ME15K       C82             

----------------

CAP_NP-GRM31CD80J107ME39K,CAP_B GRM31CD80J107ME39K       C16             
